編號,案類,發生日期,發生時間,發生地點
383,機車竊盜,1051010,2045,臺中市太平區東平路東平夜市
384,機車竊盜,1051011,0730,臺中市太平區光興路1215巷
385,機車竊盜,1051012,0034,臺中市西屯區順和一街
386,機車竊盜,1051012,1500,臺中市太平區太平路
387,機車竊盜,1051013,1500,臺中市北屯區山西路與瀋陽路口
388,機車竊盜,1051013,1800,臺中市烏日區中華路
389,機車竊盜,1051014,0100,臺中市東區南門路
390,機車竊盜,1051014,0600,臺中市烏日區中華路
391,機車竊盜,1051014,0924,臺中市北屯區軍功路2段
392,機車竊盜,1051014,1040,臺中市西屯區文華路1段
393,機車竊盜,1051014,1500,臺中市太平區成功路395巷
394,機車竊盜,1051017,1500,臺中市中區塗城路
395,機車竊盜,1051017,1550,臺中市太平區長億六街
396,機車竊盜,1051018,0000,臺中市南屯區春安里春安路與春安二路
397,機車竊盜,1051019,2000,臺中市太平區精美路301巷
398,機車竊盜,1051020,1900,臺中市梧棲區永興路1段
399,機車竊盜,1051021,0700,臺中市東區自由路3段
400,機車竊盜,1051021,1110,臺中市大里區塗城路735巷
401,機車竊盜,1051021,1123,臺中市中區自由路2段
402,機車竊盜,1051023,2030,臺中市豐原區忠孝街105巷
403,機車竊盜,1051024,0157,臺中市西屯區櫻花路
404,機車竊盜,1051024,1254,臺中市東區自由一街與自由三街口
405,機車竊盜,1051027,1915,臺中市大雅區民生路三段
406,機車竊盜,1051028,0830,臺中市西屯區臺灣大道2段
407,機車竊盜,1051102,1641,臺中市西區繼光街11巷
408,機車竊盜,1051105,1400,臺中市豐原區育仁路
409,機車竊盜,1051106,2000,臺中市西區忠仁路75巷
410,機車竊盜,1051107,1130,臺中市西區貴和街
411,機車竊盜,1051108,1024,臺中市西屯區中康街
412,機車竊盜,1051108,2220,臺中市北區精武路
413,機車竊盜,1051111,1742,臺中市南區南和一街11巷
414,機車竊盜,1051111,1750,臺中市烏日區高鐵東路人行道上
415,機車竊盜,1051112,0348,臺中市太平區中山路3段1巷
416,機車竊盜,1051112,1033,臺中市霧峰區南柳里柳豐路
417,機車竊盜,1051113,0300,臺中市烏日區中山路2段昌明巷
418,機車竊盜,1051114,1900,臺中市梧棲區文華街222巷
419,機車竊盜,1051115,0858,臺中市中區大墩里31鄰三民路3段
420,機車竊盜,1051117,1500,臺中市西屯區西屯路三段
421,機車竊盜,1051119,0000,臺中市西屯區東大路一段
422,機車竊盜,1051119,0100,臺中市豐原區中興路279巷
423,機車竊盜,1051121,0400,臺中市沙鹿區中正街
424,機車竊盜,1051121,1220,臺中市北屯區東光路892巷
425,機車竊盜,1051122,0642,臺中市西區中美街
426,機車竊盜,1051123,2100,臺中市烏日區中山路1段329巷
427,機車竊盜,1051125,1433,臺中市北屯區文昌東十二街
428,機車竊盜,1051125,1630,臺中市西區臺灣大道2段
429,機車竊盜,1051125,1930,臺中市大肚區王福街937巷
430,機車竊盜,1051125,1930,臺中市大肚區王福街937巷
431,機車竊盜,1051126,0800,臺中市大甲區經國路
432,機車竊盜,1051126,2030,臺中市西屯區國安一路與玉門路口前
433,機車竊盜,1051126,2030,臺中市西屯區國安一路235巷口
434,機車竊盜,1051126,2230,臺中市烏日區三民街258號烏日火車站前
435,機車竊盜,1051127,2239,臺中市清水區中正街73巷
436,機車竊盜,1051128,1130,臺中市烏日區光明路157巷38弄
437,機車竊盜,1051128,1500,臺中市西區柳川東路
438,機車竊盜,1051129,0940,臺中市大里區中興路2段747巷
439,機車竊盜,1051130,0121,臺中市豐原區圓環北路2段
440,機車竊盜,1051130,0740,臺中市清水區臨港路7段612巷
441,機車竊盜,1051201,1200,臺中市西區府後街
442,機車竊盜,1051203,0903,臺中市中區綠川西街
443,機車竊盜,1051203,1046,臺中市北屯區北屯路
444,機車竊盜,1051204,0930,臺中市北區博館一街、英才路
445,機車竊盜,1051204,1600,臺中市豐原區三豐路
446,機車竊盜,1051205,0603,臺中市沙鹿區鎮政路46巷
447,機車竊盜,1051207,2150,臺中市東區進化路與福明街口
448,機車竊盜,1051209,1245,臺中市西屯區臺灣大道四段
449,機車竊盜,1051211,0300,臺中市南區復興路與南平路
450,機車竊盜,1051211,1200,臺中市北區崇德路1段
451,機車竊盜,1051211,1715,臺中市北區崇德路1段
452,機車竊盜,1051215,0305,臺中市太平區振福路
453,機車竊盜,1051216,0423,臺中市東區大智路、信義街
454,機車竊盜,1051220,0800,臺中市北屯區東山路1段
455,機車竊盜,1051220,1600,臺中市烏日區慶光路
456,機車竊盜,1051220,1700,臺中市烏日區溪南路1段506巷
457,機車竊盜,1051222,0500,臺中市北區瑞祥街
458,機車竊盜,1051222,1400,臺中市北區光大路
