編號,案類,date_raw,time_raw,location,year_file,date,hour,crime_category,is_valid,district
191,汽車竊盜,1051007,600,臺中市西屯區宏福五巷,105,2016-10-07,6,汽車竊盜,1,西屯區
192,汽車竊盜,1051008,1035,臺中市霧峰區吉峰里25鄰民生路,105,2016-10-08,10,汽車竊盜,1,霧峰區
193,汽車竊盜,1051009,1500,臺中市豐原區國豐路三段,105,2016-10-09,15,汽車竊盜,1,豐原區
194,汽車竊盜,1051012,830,臺中市沙鹿區鹿寮里21鄰中山路378巷,105,2016-10-12,8,汽車竊盜,1,沙鹿區
195,汽車竊盜,1051012,925,臺中市豐原區朴子里豐勢路2段1200巷,105,2016-10-12,9,汽車竊盜,1,豐原區
196,汽車竊盜,1051014,327,臺中市北區柳川西路4段,105,2016-10-14,3,汽車竊盜,1,北區
197,汽車竊盜,1051014,411,臺中市豐原區朴子里2鄰豐勢路2段,105,2016-10-14,4,汽車竊盜,1,豐原區
198,汽車竊盜,1051015,1800,臺中市南屯區豐樂里永平路台中消防局後方停車格,105,2016-10-15,18,汽車竊盜,1,南屯區
199,汽車竊盜,1051017,600,臺中市梧棲區草湳里29鄰梧南路,105,2016-10-17,6,汽車竊盜,1,梧棲區
200,汽車竊盜,1051018,730,臺中市大雅區月祥路,105,2016-10-18,7,汽車竊盜,1,大雅區
201,汽車竊盜,1051019,636,臺中市沙鹿區自由路,105,2016-10-19,6,汽車竊盜,1,沙鹿區
202,汽車竊盜,1051020,546,臺中市北屯區同榮路,105,2016-10-20,5,汽車竊盜,1,北屯區
203,汽車竊盜,1051021,910,臺中市南屯區楓樹里楓樹西街與黎明路,105,2016-10-21,9,汽車竊盜,1,南屯區
204,汽車竊盜,1051022,44,臺中市潭子區中山路2段,105,2016-10-22,0,汽車竊盜,1,潭子區
205,汽車竊盜,1051023,439,臺中市西屯區安和路,105,2016-10-23,4,汽車竊盜,1,西屯區
206,汽車竊盜,1051023,2340,臺中市南區福田二街,105,2016-10-23,23,汽車竊盜,1,南區
207,汽車竊盜,1051024,46,臺中市南屯區南屯里黎明路1段,105,2016-10-24,0,汽車竊盜,1,南屯區
208,汽車竊盜,1051024,720,臺中市大里區草堤路158巷,105,2016-10-24,7,汽車竊盜,1,大里區
209,汽車竊盜,1051025,0,臺中市西區柳川東路2段,105,2016-10-25,0,汽車竊盜,1,西區
210,汽車竊盜,1051025,6500,臺中市西區五權西四街,105,2016-10-25,65,汽車竊盜,1,西區
211,汽車竊盜,1051026,4300,臺中市北屯區中清路2段,105,2016-10-26,43,汽車竊盜,1,北屯區
212,汽車竊盜,1051029,1820,臺中市北屯區軍福16路,105,2016-10-29,18,汽車竊盜,1,北屯區
213,汽車竊盜,1051102,1500,臺中市南屯區大業路,105,2016-11-02,15,汽車竊盜,1,南屯區
214,汽車竊盜,1051104,344,臺中市中區成功路,105,2016-11-04,3,汽車竊盜,1,中區
215,汽車竊盜,1051104,730,臺中市梧棲區臺灣大道9段,105,2016-11-04,7,汽車竊盜,1,梧棲區
216,汽車竊盜,1051107,1700,臺中市南區工學北路與德富路口,105,2016-11-07,17,汽車竊盜,1,南區
217,汽車竊盜,1051107,2000,臺中市西屯區順平路與石平路中間,105,2016-11-07,20,汽車竊盜,1,西屯區
218,汽車竊盜,1051107,2200,臺中市北屯區東光路,105,2016-11-07,22,汽車竊盜,1,北屯區
219,汽車竊盜,1051111,1500,臺中市大甲區甲后路5段652巷,105,2016-11-11,15,汽車竊盜,1,大甲區
220,汽車竊盜,1051113,915,臺中市西屯區華美西街2段,105,2016-11-13,9,汽車竊盜,1,西屯區
221,汽車竊盜,1051113,1430,臺中市西屯區永安里國安二路上的停車格,105,2016-11-13,14,汽車竊盜,1,西屯區
222,汽車竊盜,1051114,1305,臺中市東區十智街,105,2016-11-14,13,汽車竊盜,1,東區
223,汽車竊盜,1051117,430,臺中市南屯區永定里益文一街,105,2016-11-17,4,汽車竊盜,1,南屯區
224,汽車竊盜,1051119,2150,臺中市潭子區嘉豐路,105,2016-11-19,21,汽車竊盜,1,潭子區
225,汽車竊盜,1051120,1000,臺中市東區東光園路,105,2016-11-20,10,汽車竊盜,1,東區
226,汽車竊盜,1051121,1230,臺中市西區梅川西路2段,105,2016-11-21,12,汽車竊盜,1,西區
227,汽車竊盜,1051121,1700,臺中市霧峰區中正路,105,2016-11-21,17,汽車竊盜,1,霧峰區
228,汽車竊盜,1051123,113,臺中市大里區新仁路111巷,105,2016-11-23,1,汽車竊盜,1,大里區
