date,hour,location,district,crime_category,is_valid
2016-09-01,6,臺中市南屯區大業路,南屯區,機車竊盜,1
2016-09-03,19,臺中市太平區東平路,太平區,機車竊盜,1
2016-09-04,7,臺中市東區振興路437巷,東區,機車竊盜,1
2016-09-05,1,臺中市南區信義南街,南區,機車竊盜,1
2016-09-05,8,臺中市太平區中山路1段,太平區,機車竊盜,1
2016-09-05,9,臺中市西屯區臺灣大道2段,西屯區,機車竊盜,1
2016-09-06,22,臺中市東勢區福隆里東坑路,東勢區,機車竊盜,1
2016-09-07,11,臺中市大里區祥興里中興路2段,大里區,機車竊盜,1
2016-09-07,19,臺中市龍井區臺灣大道5段,龍井區,機車竊盜,1
2016-09-09,2,臺中市北區進化北路,北區,機車竊盜,1
2016-09-09,22,臺中市東區精武路113巷,東區,機車竊盜,1
2016-09-10,8,臺中市大里區永隆七街,大里區,機車竊盜,1
2016-09-11,0,臺中市北屯區文心路四段,北屯區,機車竊盜,1
2016-09-11,0,臺中市北區山西路與漢口路口,北區,機車竊盜,1
2016-09-11,17,臺中市西區四維街,西區,機車竊盜,1
2016-09-12,21,臺中市沙鹿區中山路76巷,沙鹿區,機車竊盜,1
2016-09-13,10,臺中市烏日區成功西路,烏日區,機車竊盜,1
2016-09-15,22,臺中市豐原區中山路,豐原區,機車竊盜,1
2016-09-16,12,臺中市北屯區太原路3段352巷,北屯區,機車竊盜,1
2016-09-16,16,臺中市清水區海濱路,清水區,機車竊盜,1
2016-09-17,13,臺中市東區八德街,東區,機車竊盜,1
2016-09-17,23,臺中市清水區客庄路55巷,清水區,機車竊盜,1
2016-09-18,6,臺中市梧棲區文化路2段,梧棲區,機車竊盜,1
2016-09-18,23,臺中市南屯區臺灣大道4段,南屯區,機車竊盜,1
2016-09-20,6,臺中市大里區中興路2段58巷,大里區,機車竊盜,1
2016-09-20,11,臺中市大里區德芳路2段,大里區,機車竊盜,1
2016-09-21,8,臺中市北區五權路352巷,北區,機車竊盜,1
2016-09-21,13,臺中市霧峰區乾溪路,霧峰區,機車竊盜,1
2016-09-22,11,臺中市烏日區新興路,烏日區,機車竊盜,1
2016-09-26,17,臺中市烏日區建國路高架橋下人行道,烏日區,機車竊盜,1
2016-09-26,20,臺中市西區三民路1段,西區,機車竊盜,1
2016-09-27,19,臺中市西區中華路一段,西區,機車竊盜,1
2016-09-28,4,臺中市梧棲區大仁路2段245巷,梧棲區,機車竊盜,1
2016-09-29,15,臺中市西區日興街,西區,機車竊盜,1
2016-09-30,17,臺中市西區華美街,西區,機車竊盜,1
2016-10-01,1,臺中市東區復興路5段,東區,機車竊盜,1
2016-10-01,6,臺中市西屯區臺灣大道四段,西屯區,機車竊盜,1
2016-10-02,8,臺中市清水區中央路,清水區,機車竊盜,1
2016-10-03,7,臺中市后里區梅里路梅里公園,后里區,機車竊盜,1
2016-10-03,13,臺中市烏日區溪南路1段,烏日區,機車竊盜,1
2016-10-03,14,臺中市沙鹿區正英三街,沙鹿區,機車竊盜,1
2016-10-04,7,臺中市沙鹿區過洋路,沙鹿區,機車竊盜,1
2016-10-05,7,臺中市大甲區文武路,大甲區,機車竊盜,1
2016-10-05,11,臺中市后里區三豐與甲后路口,后里區,機車竊盜,1
2016-10-05,13,臺中市清水區公正路22巷,清水區,機車竊盜,1
2016-10-05,16,臺中市龍井區沙田路6段,龍井區,機車竊盜,1
2016-10-06,15,臺中市南屯區田心里南屯路2段,南屯區,機車竊盜,1
2016-10-06,15,臺中市南屯區南屯路2段,南屯區,機車竊盜,1
2016-10-07,2,臺中市中區綠川東街,中區,機車竊盜,1
2016-10-07,8,臺中市東區十九甲路段,東區,機車竊盜,1
2016-10-07,14,臺中市東區復興路4段,東區,機車竊盜,1
2016-10-07,18,臺中市北區健行路86巷,北區,機車竊盜,1
2016-10-08,12,臺中市西區美村路1段118巷,西區,機車竊盜,1
2016-10-09,15,臺中市北區進化北路,北區,機車竊盜,1
2016-10-09,21,臺中市清水區光復街,清水區,機車竊盜,1
2016-10-09,23,臺中市北區民權路與育德街,北區,機車竊盜,1
