date,hour,location,district,crime_category,is_valid,latitude,longitude,geocode_method
2016-06-15,11,臺中市太平區太平路,太平區,機車竊盜,1,24.125782921453062,120.71858715023971,jittered
2016-06-15,19,臺中市沙鹿區光榮街83巷,沙鹿區,機車竊盜,1,24.224472208507198,120.56806806402126,jittered
2016-06-15,22,臺中市大雅區中清路四段70巷口,大雅區,機車竊盜,1,24.219791277199356,120.6491670223529,jittered
2016-06-16,18,臺中市梧棲區大仁路2段353巷,梧棲區,機車竊盜,1,24.256981221039574,120.52928158613878,jittered
2016-06-17,10,臺中市烏日區環中路7段,烏日區,機車竊盜,1,24.103340929224185,120.63257705306107,jittered
2016-06-17,13,臺中市北屯區環東路1段,北屯區,機車竊盜,1,24.18254084832244,120.67689228149163,jittered
2016-06-18,5,臺中市和平區臺七甲線,和平區,機車竊盜,1,24.25178847178945,120.95608927324177,jittered
2016-06-18,19,臺中市霧峰區吉豐東路,霧峰區,機車竊盜,1,24.08621263787162,120.70656445994126,jittered
2016-06-19,3,臺中市大雅區中清東路,大雅區,機車竊盜,1,24.241210722974294,120.6306,jittered
2016-06-20,1,臺中市西屯區上石北二巷,西屯區,機車竊盜,1,24.19993930532867,120.61846239761425,jittered
2016-06-20,3,臺中市霧峰區五福里010鄰五福路,霧峰區,機車竊盜,1,24.03816567772274,120.68570267518537,jittered
2016-06-20,7,臺中市沙鹿區四平街42巷,沙鹿區,機車竊盜,1,24.240396914549443,120.58037791707045,jittered
2016-06-20,13,臺中市北區公園路,北區,機車竊盜,1,24.151494248290337,120.68348585228115,jittered
2016-06-21,16,臺中市沙鹿區四平街,沙鹿區,機車竊盜,1,24.226482187209523,120.57978551178395,jittered
2016-06-21,19,臺中市梧棲區台灣大道8段,梧棲區,機車竊盜,1,24.26763694343156,120.52430783542333,jittered
2016-06-22,2,臺中市西屯區文心路2段,西屯區,機車竊盜,1,24.199832961561306,120.6427,jittered
2016-06-22,2,臺中市沙鹿區四平街42巷,沙鹿區,機車竊盜,1,24.242996848372425,120.54810034086893,jittered
2016-06-22,10,臺中市大雅區中清東路,大雅區,機車竊盜,1,24.23536861711678,120.66432115164295,jittered
2016-06-23,14,臺中市太平區正誠街,太平區,機車竊盜,1,24.13173131722993,120.72277248512584,jittered
2016-06-23,19,臺中市北區原子街與中央街口,北區,機車竊盜,1,24.164208691253435,120.68247202447357,jittered
2016-06-24,19,臺中市清水區中山路,清水區,機車竊盜,1,24.277750893533913,120.5553715272749,jittered
2016-06-25,19,臺中市北區公園路,北區,機車竊盜,1,24.152694310503804,120.69326571880359,jittered
